0, 0, 219, 8
1, 1, 160, 9
2, 2, 436, 9
3, 3, 106, 3
4, 4, 431, 7
5, 5, 343, 5
6, 6, 401, 2
7, 7, 174, 5
8, 8, 186, 9
9, 9, 452, 9
10, 10, 110, 1
11, 11, 262, 4
12, 12, 369, 3
13, 13, 488, 9
14, 14, 480, 1
15, 15, 456, 4
16, 16, 407, 8
17, 17, 281, 6
18, 18, 295, 8
19, 19, 149, 1
20, 20, 259, 9
21, 21, 376, 8
22, 22, 262, 3
23, 23, 447, 7
24, 24, 368, 2
25, 25, 123, 3
26, 26, 258, 8
27, 27, 420, 1
28, 28, 159, 1
29, 29, 435, 7
30, 30, 261, 7
31, 31, 495, 5
32, 32, 326, 8
33, 33, 301, 7
34, 34, 356, 9
35, 35, 336, 2
36, 36, 171, 2
37, 37, 434, 4
38, 38, 379, 6
39, 39, 214, 1
40, 40, 286, 8
41, 41, 491, 6
42, 42, 203, 6
43, 43, 221, 4
44, 44, 357, 2
45, 45, 447, 6
46, 46, 399, 5
47, 47, 285, 7
48, 48, 118, 4
49, 49, 107, 3
50, 50, 237, 5
51, 51, 198, 7
52, 52, 102, 4
53, 53, 164, 6
54, 54, 329, 2
55, 55, 435, 8
56, 56, 154, 4
57, 57, 388, 7
58, 58, 338, 8
59, 59, 115, 1
60, 60, 266, 5
61, 61, 306, 6
62, 62, 454, 1
63, 63, 396, 9
64, 64, 262, 9
65, 65, 294, 9
66, 66, 283, 5
67, 67, 363, 8
68, 68, 201, 7
69, 69, 295, 6
70, 70, 189, 5
71, 71, 490, 2
72, 72, 212, 3
73, 73, 167, 4
74, 74, 157, 2
75, 75, 444, 6
76, 76, 209, 1
77, 77, 148, 3
78, 78, 401, 4
79, 79, 468, 9
80, 80, 475, 9
81, 81, 231, 1
82, 82, 388, 8
83, 83, 157, 1
84, 84, 487, 8
85, 85, 271, 5
86, 86, 294, 9
87, 87, 426, 6
88, 88, 454, 5
89, 89, 117, 7
90, 90, 447, 7
91, 91, 211, 6
92, 92, 333, 7
93, 93, 192, 6
94, 94, 115, 9
95, 95, 384, 9
96, 96, 245, 1
97, 97, 303, 8
98, 98, 486, 3
99, 99, 214, 2
100, 100, 312, 9
101, 101, 158, 3
102, 102, 329, 1
103, 103, 106, 1
104, 104, 456, 1
105, 105, 348, 6
106, 106, 105, 9
107, 107, 332, 4
108, 108, 358, 3
109, 109, 123, 1
110, 110, 488, 1
111, 111, 350, 9
112, 112, 287, 4
113, 113, 207, 8
114, 114, 476, 5
115, 115, 263, 3
116, 116, 128, 1
117, 117, 396, 4
118, 118, 233, 2
119, 119, 159, 5
120, 120, 139, 2
121, 121, 217, 3
122, 122, 441, 8
123, 123, 281, 9
124, 124, 272, 9
125, 125, 234, 4
126, 126, 372, 3
127, 127, 261, 8
128, 128, 299, 6
129, 129, 356, 9
130, 130, 474, 1
131, 131, 355, 5
132, 132, 215, 3
133, 133, 163, 1
134, 134, 262, 3
135, 135, 213, 7
136, 136, 192, 2
137, 137, 162, 1
138, 138, 216, 7
139, 139, 405, 8
140, 140, 186, 8
141, 141, 493, 9
142, 142, 176, 9
143, 143, 167, 2
144, 144, 434, 4
145, 145, 454, 2
146, 146, 389, 5
147, 147, 126, 1
148, 148, 328, 2
149, 149, 207, 9
150, 150, 479, 8
151, 151, 400, 9
152, 152, 346, 6
153, 153, 477, 3
154, 154, 196, 3
155, 155, 407, 5
156, 156, 217, 6
157, 157, 384, 2
158, 158, 395, 2
159, 159, 125, 8
160, 160, 412, 8
161, 161, 187, 7
162, 162, 136, 2
163, 163, 418, 8
164, 164, 485, 2
165, 165, 310, 4
166, 166, 498, 4
167, 167, 482, 9
168, 168, 427, 4
169, 169, 238, 4
170, 170, 265, 4
171, 171, 454, 8
172, 172, 454, 1
173, 173, 264, 5
174, 174, 477, 4
175, 175, 175, 1
176, 176, 219, 1
177, 177, 466, 5
178, 178, 201, 4
179, 179, 270, 4
180, 180, 321, 2
181, 181, 441, 2
182, 182, 381, 3
183, 183, 274, 6
184, 184, 468, 4
185, 185, 260, 4
186, 186, 273, 7
187, 187, 441, 1
188, 188, 118, 9
189, 189, 315, 7
190, 190, 117, 5
191, 191, 328, 2
192, 192, 196, 1
193, 193, 257, 2
194, 194, 324, 8
195, 195, 259, 6
196, 196, 457, 8
197, 197, 213, 6
198, 198, 292, 2
199, 199, 139, 7
